IdUser,Username,Email,Password,PrimeiroNome,UltimoNome,Nacionalidade,Nascimento,Morada,Telefone,TipoConta,Saldo,Imagem,ApiToken,NIF
42,Utilizador28,Utilizador28@gmail.com,passBasica,Utilizador28,Ramiro,Argentina,2000-05-11,"Rua cidade do sitio",919073389,Senhorio,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
43,Utilizador29,Utilizador29@gmail.com,passBasica,Utilizador29,Ramiro,Portugal,2000-05-11,"Rua cidade do sitio",919083389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
44,Utilizador30,Utilizador30@gmail.com,passBasica,Utilizador30,Miguel,Portugal,2000-05-11,"Rua cidade do sitio",919093389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
45,Utilizador31,Utilizador31@gmail.com,passBasica,Utilizador31,Alphonso,Argentina,2000-05-11,"Rua cidade do sitio",919103389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
46,Utilizador32,Utilizador32@gmail.com,passBasica,Utilizador32,Ramiro,Argentina,2000-05-11,"Rua cidade do sitio",919003389,Senhorio,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
47,Utilizador33,Utilizador33@gmail.com,passBasica,Utilizador33,Ramiro,Portugal,2000-05-11,"Rua cidade do sitio",919203389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
48,Utilizador34,Utilizador34@gmail.com,passBasica,Utilizador34,Alphonso,Argentina,2000-05-11,"Rua cidade do sitio",919303389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
49,Utilizador35,Utilizador35@gmail.com,passBasica,Utilizador35,Ramiro,Argentina,2000-05-11,"Rua cidade do sitio",919403389,Senhorio,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
50,Utilizador36,Utilizador36@gmail.com,passBasica,Utilizador36,Ramiro,Portugal,2000-05-11,"Rua cidade do sitio",919003389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
51,Utilizador37,Utilizador37@gmail.com,passBasica,Utilizador37,Miguel,Portugal,2000-05-11,"Rua cidade do sitio",919503389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
52,Utilizador38,Utilizador38@gmail.com,passBasica,Utilizador38,Alphonso,Argentina,2000-05-11,"Rua cidade do sitio",919603389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
53,Utilizador39,Utilizador39@gmail.com,passBasica,Utilizador39,Ramiro,Argentina,2000-05-11,"Rua cidade do sitio",919703389,Senhorio,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
54,Utilizador40,Utilizador40@gmail.com,passBasica,Utilizador40,Ramiro,Portugal,2000-05-11,"Rua cidade do sitio",919803389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
55,Utilizador41,Utilizador41@gmail.com,passBasica,Utilizador41,Miguel,Portugal,2000-05-11,"Rua cidade do sitio",919803389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
56,Utilizador42,Utilizador42@gmail.com,passBasica,Utilizador42,Alphonso,Argentina,2000-05-11,"Rua cidade do sitio",911003389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
57,Utilizador43,Utilizador43@gmail.com,passBasica,Utilizador43,Ramiro,Argentina,2000-05-11,"Rua cidade do sitio",912003389,Senhorio,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
58,Utilizador44,Utilizador44@gmail.com,passBasica,Utilizador44,Ramiro,Portugal,2000-05-11,"Rua cidade do sitio",913003389,Interessado,0,1622715780-1622160133-profileAvatar.png,f8d16f8c-80c8-459e-abc5-2086811cc255,545434858
